P2 - HIGH, Clear-Text Protocol - HTTP, http://10.10.100.155:80/, HTTP/1.1 200 OK
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 4373C92A-2755-5538-9C91-0469C995AA9B 6.8 https://vulners.com/githubexploit/4373C92A-2755-5538-9C91-0469C995AA9B
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 4810E2D9-AC5F-5B08-BFB3-DDAFA2F63332 6.8 https://vulners.com/githubexploit/4810E2D9-AC5F-5B08-BFB3-DDAFA2F63332
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 5C1BB960-90C1-5EBF-9BEF-F58BFFDFEED9 7.5 https://vulners.com/githubexploit/5C1BB960-90C1-5EBF-9BEF-F58BFFDFEED9
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, 8AFB43C5-ABD4-52AD-BB19-24D7884FF2A2 6.8 https://vulners.com/githubexploit/8AFB43C5-ABD4-52AD-BB19-24D7884FF2A2
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2021-102386 7.5 https://vulners.com/cnvd/CNVD-2021-102386
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-03223 5.0 https://vulners.com/cnvd/CNVD-2022-03223
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-03224 6.8 https://vulners.com/cnvd/CNVD-2022-03224
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-03225 7.5 https://vulners.com/cnvd/CNVD-2022-03225
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-53582 5.0 https://vulners.com/cnvd/CNVD-2022-53582
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-53584 5.0 https://vulners.com/cnvd/CNVD-2022-53584
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-73122 5.0 https://vulners.com/cnvd/CNVD-2022-73122
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CNVD-2022-73123 7.5 https://vulners.com/cnvd/CNVD-2022-73123
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2006-20001 5.0 https://vulners.com/cve/CVE-2006-20001
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2017-15710 5.0 https://vulners.com/cve/CVE-2017-15710
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2017-15715 6.8 https://vulners.com/cve/CVE-2017-15715
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-11763 4.3 https://vulners.com/cve/CVE-2018-11763
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1283 3.5 https://vulners.com/cve/CVE-2018-1283
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1301 4.3 https://vulners.com/cve/CVE-2018-1301
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1302 4.3 https://vulners.com/cve/CVE-2018-1302
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1303 5.0 https://vulners.com/cve/CVE-2018-1303
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1312 6.8 https://vulners.com/cve/CVE-2018-1312
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-1333 5.0 https://vulners.com/cve/CVE-2018-1333
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-15473 5.0 https://vulners.com/cve/CVE-2018-15473
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-15919 5.0 https://vulners.com/cve/CVE-2018-15919
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-17189 5.0 https://vulners.com/cve/CVE-2018-17189
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-17199 5.0 https://vulners.com/cve/CVE-2018-17199
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2018-20685 2.6 https://vulners.com/cve/CVE-2018-20685
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-0196 5.0 https://vulners.com/cve/CVE-2019-0196
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-0211 7.2 https://vulners.com/cve/CVE-2019-0211
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-0217 6.0 https://vulners.com/cve/CVE-2019-0217
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-0220 5.0 https://vulners.com/cve/CVE-2019-0220
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-10081 5.0 https://vulners.com/cve/CVE-2019-10081
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-10082 6.4 https://vulners.com/cve/CVE-2019-10082
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-10092 4.3 https://vulners.com/cve/CVE-2019-10092
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-10098 5.8 https://vulners.com/cve/CVE-2019-10098
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-17567 5.0 https://vulners.com/cve/CVE-2019-17567
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-6109 4.0 https://vulners.com/cve/CVE-2019-6109
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-6110 4.0 https://vulners.com/cve/CVE-2019-6110
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-6111 5.8 https://vulners.com/cve/CVE-2019-6111
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2019-9517 7.8 https://vulners.com/cve/CVE-2019-9517
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-11993 4.3 https://vulners.com/cve/CVE-2020-11993
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-14145 4.3 https://vulners.com/cve/CVE-2020-14145
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-1927 5.8 https://vulners.com/cve/CVE-2020-1927
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-1934 5.0 https://vulners.com/cve/CVE-2020-1934
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-35452 6.8 https://vulners.com/cve/CVE-2020-35452
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2020-9490 5.0 https://vulners.com/cve/CVE-2020-9490
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-26690 5.0 https://vulners.com/cve/CVE-2021-26690
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-26691 7.5 https://vulners.com/cve/CVE-2021-26691
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-33193 5.0 https://vulners.com/cve/CVE-2021-33193
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-34798 5.0 https://vulners.com/cve/CVE-2021-34798
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-39275 7.5 https://vulners.com/cve/CVE-2021-39275
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-40438 6.8 https://vulners.com/cve/CVE-2021-40438
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-41617 4.4 https://vulners.com/cve/CVE-2021-41617
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-44224 6.4 https://vulners.com/cve/CVE-2021-44224
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2021-44790 7.5 https://vulners.com/cve/CVE-2021-44790
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-22721 5.8 https://vulners.com/cve/CVE-2022-22721
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-23943 7.5 https://vulners.com/cve/CVE-2022-23943
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-26377 5.0 https://vulners.com/cve/CVE-2022-26377
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-28614 5.0 https://vulners.com/cve/CVE-2022-28614
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-28615 6.4 https://vulners.com/cve/CVE-2022-28615
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-29404 5.0 https://vulners.com/cve/CVE-2022-29404
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-30556 5.0 https://vulners.com/cve/CVE-2022-30556
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-31813 7.5 https://vulners.com/cve/CVE-2022-31813
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-36760 5.1 https://vulners.com/cve/CVE-2022-36760
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2022-37436 5.0 https://vulners.com/cve/CVE-2022-37436
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, CVE-2023-25690 7.5 https://vulners.com/cve/CVE-2023-25690
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:45233 5.0 https://vulners.com/exploitdb/EDB-ID:45233
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:45939 5.0 https://vulners.com/exploitdb/EDB-ID:45939
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:46193 5.8 https://vulners.com/exploitdb/EDB-ID:46193
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:46516 5.8 https://vulners.com/exploitdb/EDB-ID:46516
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:46676 7.2 https://vulners.com/exploitdb/EDB-ID:46676
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EDB-ID:51193 7.5 https://vulners.com/exploitdb/EDB-ID:51193
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EXPLOITPACK:44C5118F831D55FAF4259C41D8BDA0AB 7.2 https://vulners.com/exploitpack/EXPLOITPACK:44C5118F831D55FAF4259C41D8BDA0AB
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EXPLOITPACK:5330EA02EBDE345BFC9D6DDDD97F9E97 5.8 https://vulners.com/exploitpack/EXPLOITPACK:5330EA02EBDE345BFC9D6DDDD97F9E97
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EXPLOITPACK:98FE96309F9524B8C84C508837551A19 5.8 https://vulners.com/exploitpack/EXPLOITPACK:98FE96309F9524B8C84C508837551A19
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EXPLOITPACK:EBDBC5685E3276D648B4D14B75563283 5.0 https://vulners.com/exploitpack/EXPLOITPACK:EBDBC5685E3276D648B4D14B75563283
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, EXPLOITPACK:F957D7E8A0CC1E23C3C649B764E13FB0 5.0 https://vulners.com/exploitpack/EXPLOITPACK:F957D7E8A0CC1E23C3C649B764E13FB0
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, FDF3DFA1-ED74-5EE2-BF5C-BA752CA34AE8 6.8 https://vulners.com/githubexploit/FDF3DFA1-ED74-5EE2-BF5C-BA752CA34AE8
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, MSF:AUXILIARY-SCANNER-SSH-SSH_ENUMUSERS- 0.0 https://vulners.com/metasploit/MSF:AUXILIARY-SCANNER-SSH-SSH_ENUMUSERS-
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PACKETSTORM:150621 5.0 https://vulners.com/packetstorm/PACKETSTORM:150621
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PACKETSTORM:151227 0.0 https://vulners.com/packetstorm/PACKETSTORM:151227
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PACKETSTORM:152441 0.0 https://vulners.com/packetstorm/PACKETSTORM:152441
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PACKETSTORM:171631 7.5 https://vulners.com/packetstorm/PACKETSTORM:171631
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PRION:CVE-2021-30047 5.0 https://vulners.com/prion/PRION:CVE-2021-30047
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, PRION:CVE-2021-3618 5.8 https://vulners.com/prion/PRION:CVE-2021-3618
P3 - MEDIUM, Components with Known Vulnerabilities - NMap, 10.10.100.155, SSH_ENUM 5.0 https://vulners.com/canvas/SSH_ENUM
P4 - LOW, SSH Version Disclosure, 10.10.100.155, [+] 10.10.100.155:22      - SSH server version: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.3 ( service.version=7.6p1 openssh.comment=Ubuntu-4ubuntu0.3 service.vendor=OpenBSD service.family=OpenSSH service.product=OpenSSH service.cpe23=cpe:/a:openbsd:openssh:7.6p1 os.vendor=Ubuntu os.family=Linux os.product=Linux os.version=18.04 os.cpe23=cpe:/o:canonical:ubuntu_linux:18.04 service.protocol=ssh fingerprint_db=ssh.banner )
P5 - INFO, Interesting Ports Found, 10.10.100.155, 21 
P5 - INFO, Server Header Disclosure - HTTP, http://10.10.100.155:80//, Server: Apache/2.4.29 (Ubuntu)
